"neighborhood","property_type","units","avg_size","distance_to_public_transport","distance_to_schools","distance_to_park","recent_sale_price","year_built","crime_rate"
"Southwest Waterfront","Single Family Home",23,946,0.45,0.27,0.93,569353,1959,12.1
"Kingman Park","Townhouse",16,936,0.83,0.72,0.27,1086400,1993,14.4
"Southwest Waterfront","Condominium",26,1403,0.24,0.34,0.21,1086483,1965,24.3
"Brookland","Townhouse",30,1440,0.24,0.38,0.76,1773275,1964,16.2
"Trinidad","Townhouse",24,1030,0.51,0.17,0.55,557997,1972,16
"Van Ness","Single Family Home",16,994,0.64,0.43,0.94,1549054,1974,9.6
"Foggy Bottom","Single Family Home",26,1130,0.54,0.58,0.31,1657213,1989,5.2
"Mount Pleasant","Condominium",19,1540,0.22,0.35,0.44,1905088,1951,14.2
"Southwest Waterfront","Townhouse",11,1322,0.74,0.29,0.6,1755910,1989,18.4
"Petworth","Condominium",6,1175,0.35,0.97,0.87,1687928,1961,5.6
"Logan Circle","Townhouse",14,1132,0.64,0.22,0.67,1108805,1983,24.4
"Logan Circle","Condominium",28,1199,0.86,0.64,0.25,732821,2008,20.7
"Anacostia","Condominium",25,1280,0.27,0.49,0.15,NA,2013,21
"Shaw","Condominium",40,1268,0.6,0.25,0.31,1456872,2010,9.7
"Van Ness","Condominium",20,1436,0.76,0.22,0.35,769564,1978,8.1
"Trinidad","Single Family Home",32,970,0.16,0.66,0.19,1481120,1958,19.5
"Kingman Park","Single Family Home",23,1061,0.16,0.46,1,763378,1956,10.6
"Congress Heights","Condominium",13,946,0.74,0.78,1,1187691,1974,9.5
"Kingman Park","Townhouse",16,1013,0.69,0.91,0.25,686439,1960,16.6
"Georgetown","Condominium",30,1171,0.76,0.49,0.24,940033,1951,10.6
"Woodley Park","Single Family Home",35,1452,0.59,0.1,0.87,1682419,1983,18.1
"Southwest Waterfront","Condominium",22,1254,0.55,0.98,0.77,1860271,1992,20.3
"Congress Heights","Condominium",12,986,0.54,0.53,0.11,714001,1953,19.6
"Southwest Waterfront","Condominium",40,1182,0.33,0.49,0.97,1804934,2005,9
"Van Ness","Townhouse",17,1079,0.56,0.9,0.58,1134638,1990,15.5
"Petworth","Townhouse",37,1117,0.59,0.96,0.18,1929776,1989,22.7
"Logan Circle","Single Family Home",15,1199,0.42,0.9,0.2,1580234,1985,7.8
"Adams Morgan","Townhouse",28,1452,0.78,0.52,0.2,1506291,1983,15.5
"Foggy Bottom","Townhouse",16,929,0.29,0.85,0.74,866844,1971,9.5
"Columbia Heights","Single Family Home",38,1368,0.76,0.46,0.21,721613,1985,23.8
"Anacostia","Single Family Home",23,1239,0.51,0.15,0.25,1411690,2004,17
"Van Ness","Townhouse",29,1258,0.66,0.61,0.79,1602465,1995,15.1
"Capitol Hill","Townhouse",7,1269,0.48,0.53,0.85,1534414,1955,5.6
"Mount Pleasant","Townhouse",14,1250,0.43,0.54,0.48,667064,1982,22.6
"Congress Heights","Condominium",10,961,0.2,0.28,0.31,919410,1995,6.1
"Adams Morgan","Condominium",12,925,0.8,0.82,0.83,1779494,1951,19.9
"Adams Morgan","Condominium",7,1055,0.83,0.52,0.79,983497,2017,18.3
"Trinidad","Single Family Home",24,1362,0.26,0.67,0.16,524916,1955,19.6
"Southwest Waterfront","Townhouse",35,1461,0.77,0.78,0.42,822804,2007,6.7
"Logan Circle","Townhouse",30,939,0.48,0.41,0.64,1228622,2012,19.2
"Trinidad","Townhouse",9,925,0.58,0.69,0.24,1330207,1984,21.5
"Southwest Waterfront","Single Family Home",30,1083,0.89,0.55,0.31,1617165,1986,8
"Anacostia","Condominium",21,1230,0.18,0.34,0.67,567337,1998,6.5
"Capitol Hill","Condominium",7,935,0.42,0.66,0.75,1963652,2003,14.7
"Woodley Park","Townhouse",16,1284,0.69,0.52,0.52,NA,2005,14
"Mount Pleasant","Condominium",7,1468,0.56,0.37,0.39,1972007,2018,24.4
"Shaw","Condominium",10,1055,0.56,0.36,0.36,NA,2018,11.9
"Kingman Park","Condominium",11,1163,0.53,0.6,0.73,1044701,1987,14.4
"Brookland","Single Family Home",18,1046,0.44,0.99,0.3,999315,2016,13.9
"Adams Morgan","Single Family Home",29,1281,0.87,0.61,0.74,846864,1973,6.1
"Brookland","Condominium",28,1275,0.29,0.17,0.81,1724106,1990,9.7
"Dupont Circle","Single Family Home",28,1021,0.38,0.81,0.9,1827153,2010,7.3
"Kingman Park","Single Family Home",29,1171,0.27,0.22,0.36,589460,1958,19.1
"Logan Circle","Condominium",20,1279,0.53,0.59,0.83,1913033,2017,16.8
"Van Ness","Condominium",12,1398,0.55,0.93,0.81,1278131,1996,15.9
"Anacostia","Townhouse",24,1398,0.59,0.43,0.58,NA,1957,24.7
"Logan Circle","Condominium",14,857,0.21,0.86,0.93,1017543,2001,18.8
"Adams Morgan","Single Family Home",15,1038,0.13,0.71,0.69,671259,1978,7.5
"Columbia Heights","Townhouse",31,1157,0.64,0.79,0.1,519815,1984,10
"Adams Morgan","Single Family Home",9,1311,0.58,0.36,0.42,1988823,1965,12.1
"Mount Pleasant","Townhouse",26,1388,0.66,0.32,0.59,1392952,1977,20.9
"Van Ness","Single Family Home",7,1274,0.4,0.95,0.32,852831,1989,20
"Dupont Circle","Condominium",39,1675,0.2,0.38,0.11,1543927,1999,17
"Anacostia","Single Family Home",21,1288,0.48,0.71,0.86,737945,1965,21.2
"Southwest Waterfront","Townhouse",9,1385,0.29,0.94,0.61,1488708,2002,20.4
"Shaw","Condominium",12,1105,0.19,0.12,0.23,NA,1986,15.2
"Kingman Park","Single Family Home",39,1251,0.49,0.33,0.47,1581512,2020,8.5
"Brookland","Condominium",16,1457,0.77,0.41,0.13,979920,1964,9.7
"Shaw","Condominium",34,886,0.3,0.15,0.58,604801,1997,21.9
"Trinidad","Townhouse",26,1056,0.76,0.79,0.23,966051,1972,7.1
"Trinidad","Townhouse",25,1338,0.9,0.79,0.94,NA,2002,12.9
"Mount Pleasant","Single Family Home",3,1216,0.79,0.17,0.66,593267,1970,20.6
"Mount Pleasant","Condominium",8,1266,0.36,0.33,0.57,1733126,1993,23.7
"Anacostia","Single Family Home",11,1807,0.13,1,0.52,930817,1974,9.6
"Woodley Park","Condominium",34,1307,0.58,0.94,0.95,1885289,2011,19.2
"Shaw","Condominium",7,1282,0.36,0.22,0.73,1939207,1973,14.1
"U Street Corridor","Single Family Home",22,1253,0.81,0.88,0.82,1825086,1953,21.9
"Congress Heights","Single Family Home",33,931,0.24,0.75,0.65,NA,1992,23.4
"Southwest Waterfront","Condominium",17,1280,0.11,0.62,0.82,921515,2015,17
"Brookland","Condominium",35,NA,0.32,0.46,0.75,1358111,1961,13.9
"Van Ness","Condominium",24,967,0.7,0.52,0.56,937041,1969,16.2
"Logan Circle","Single Family Home",8,1159,0.89,0.71,0.83,1496721,1976,5.3
"Van Ness","Townhouse",34,1162,0.9,0.34,0.77,1963647,2002,7.8
"Columbia Heights","Single Family Home",35,1079,0.48,0.5,0.58,NA,1976,13.3
"Columbia Heights","Condominium",23,985,0.82,0.86,0.3,NA,2020,15.4
"Georgetown","Townhouse",27,1043,0.55,0.15,0.48,NA,1950,16.7
"Congress Heights","Townhouse",40,1171,0.17,0.71,0.99,1966366,1999,12.8
"Van Ness","Single Family Home",28,1047,0.59,0.57,0.41,1923095,1961,7.1
"Dupont Circle","Townhouse",15,982,0.83,0.58,0.43,650903,1991,23.5
"Mount Pleasant","Condominium",6,1033,0.49,0.37,0.26,1881442,1980,18
"Anacostia","Townhouse",22,1209,0.55,0.94,0.61,1470386,1976,24.7
"Woodley Park","Townhouse",39,1177,0.34,0.62,0.96,1268509,1981,21.2
"Georgetown","Single Family Home",31,1240,0.6,0.23,0.77,581748,2006,11.5
"Congress Heights","Single Family Home",17,1105,0.83,0.11,0.77,1329520,1993,7.4
"Van Ness","Condominium",24,1276,0.24,0.98,0.81,1148753,2018,19.3
"Congress Heights","Townhouse",26,990,0.13,0.41,0.25,1170895,2017,19.7
"Shaw","Condominium",27,1020,0.33,0.49,0.78,974642,2003,20.4
"Woodley Park","Single Family Home",13,1050,0.37,0.31,0.27,1669174,2006,19.7
"Petworth","Condominium",24,1308,0.42,0.63,0.13,927840,1955,20
"Capitol Hill","Single Family Home",17,1364,0.27,0.61,0.26,1184978,1993,19.1
"Dupont Circle","Single Family Home",11,1238,0.36,0.46,0.97,849606,1953,17.2
"Deanwood","Single Family Home",4,968,0.84,0.34,0.34,962764,1991,7.9
"Anacostia","Single Family Home",8,1099,0.69,0.97,0.14,NA,1975,21.9
"Van Ness","Single Family Home",6,1213,0.47,0.98,0.29,1839822,2013,15.2
"Mount Pleasant","Townhouse",7,1303,0.78,0.16,0.93,1187222,2015,18
"Anacostia","Condominium",29,978,0.73,0.57,0.61,1803852,2001,14.1
"Kingman Park","Townhouse",35,801,0.39,0.63,0.26,548997,1991,7.4
"Van Ness","Townhouse",29,888,0.53,0.27,0.99,1032907,1966,12.5
"Georgetown","Condominium",18,1345,0.51,0.34,0.93,681199,2005,13.2
"Van Ness","Townhouse",14,1163,0.45,0.77,0.22,664186,1954,19.6
"Petworth","Condominium",3,1250,0.35,0.46,0.48,1956531,1957,12.6
"Columbia Heights","Condominium",20,1188,0.72,0.94,0.28,1868117,1965,9.3
"Brookland","Townhouse",20,1394,0.25,0.31,0.3,1703289,1980,16.7
"Congress Heights","Single Family Home",19,1170,0.6,0.2,0.81,NA,1976,7.6
"Petworth","Townhouse",37,911,0.28,0.4,0.3,1286535,1985,21
"Capitol Hill","Townhouse",13,940,0.37,0.18,0.68,785598,1992,6.6
"Anacostia","Townhouse",26,1168,0.46,0.56,0.36,756558,1992,18.4
"Van Ness","Single Family Home",8,1059,0.83,0.89,0.56,1621683,2010,11.1
"Mount Pleasant","Townhouse",16,858,0.15,0.73,0.8,1940978,1966,19.6
"Foggy Bottom","Condominium",23,1144,0.78,0.18,0.17,1705162,2012,23.2
"Anacostia","Condominium",24,925,0.1,0.83,0.24,1916961,1971,5.5
"U Street Corridor","Townhouse",5,1112,0.26,0.69,0.32,NA,1993,13.8
"Van Ness","Townhouse",25,1042,0.66,0.93,0.4,NA,1960,18.1
"Southwest Waterfront","Condominium",24,1336,0.34,0.13,0.87,975198,1996,7.8
"Georgetown","Townhouse",37,NA,0.2,0.74,0.2,1861961,1966,22.3
"Deanwood","Townhouse",4,1185,0.21,0.54,0.36,734941,1973,6.3
"Anacostia","Single Family Home",4,1388,0.73,0.71,0.42,1757622,1990,19.7
"Shaw","Townhouse",30,1367,0.24,0.98,0.19,1129188,2020,17
"Deanwood","Townhouse",27,1249,0.22,0.79,0.71,883369,1963,19.6
"U Street Corridor","Single Family Home",26,1121,0.15,0.15,0.87,NA,1955,8.6
"Southwest Waterfront","Condominium",15,1250,0.26,0.44,0.6,1156208,1973,14.3
"Kingman Park","Townhouse",5,1336,0.23,0.52,0.13,1240580,1991,16.3
"Congress Heights","Townhouse",12,1234,0.59,0.89,0.44,1914073,1976,9.3
"Woodley Park","Townhouse",21,1258,0.14,0.14,0.36,908111,1982,23
"Shaw","Townhouse",33,1273,0.12,0.16,0.59,NA,1998,5.9
"Brookland","Condominium",7,1310,0.83,0.59,0.58,1287076,1967,21.5
"Georgetown","Townhouse",10,1115,0.52,0.27,0.75,NA,1991,24.6
"Petworth","Townhouse",31,1585,0.14,0.55,0.96,904036,2019,11.1
"Petworth","Condominium",4,1279,0.5,0.39,0.38,1062802,1976,24.4
"Columbia Heights","Single Family Home",38,1211,0.88,0.49,0.66,1374194,1968,19.9
"Capitol Hill","Townhouse",8,1292,0.57,0.97,0.31,NA,1963,13.2
"Foggy Bottom","Townhouse",32,1121,0.82,0.41,0.17,1014882,2016,19.6
"Foggy Bottom","Single Family Home",26,1196,0.74,0.72,0.31,NA,1952,15.9
"Logan Circle","Condominium",39,780,0.84,0.99,0.41,NA,1958,17.2
"Southwest Waterfront","Condominium",24,1441,0.63,0.17,0.29,1711439,1977,18.5
"Congress Heights","Condominium",24,1373,0.79,0.18,0.16,615505,1976,11
"Deanwood","Single Family Home",4,1156,0.87,0.15,0.27,1317428,1987,9.5
"Capitol Hill","Condominium",8,1362,0.37,0.65,0.5,1074846,2005,20.4
"Deanwood","Townhouse",26,1193,0.12,0.68,0.11,NA,2020,16.2
"Georgetown","Single Family Home",4,1259,0.19,0.8,0.36,1173347,1990,12
"Southwest Waterfront","Townhouse",12,1226,0.9,0.32,0.54,1310953,2008,19.9
"Woodley Park","Condominium",3,1121,0.19,0.11,0.43,1180835,2000,5.6
"Adams Morgan","Townhouse",40,1046,0.12,0.42,0.9,1101096,1992,24.5
"Congress Heights","Single Family Home",8,1077,0.74,0.53,0.1,903198,1960,23.7
"Congress Heights","Townhouse",39,973,0.76,0.49,0.79,1790752,1985,20.1
"Woodley Park","Single Family Home",37,1117,0.62,0.65,0.75,758351,1985,12.4
"Congress Heights","Single Family Home",38,1520,0.86,0.86,0.21,580386,2018,24.9
"Congress Heights","Single Family Home",7,1394,0.45,0.88,0.98,1742681,1971,22
"U Street Corridor","Single Family Home",36,876,0.57,0.34,0.16,1524576,1990,11.2
"Capitol Hill","Condominium",21,895,0.78,0.41,0.74,1776437,1989,24.6
"Deanwood","Single Family Home",38,1270,0.89,0.85,0.27,1947828,1991,24.6
"Trinidad","Single Family Home",23,1005,0.27,0.9,0.35,1233854,1996,14.5
"Van Ness","Townhouse",16,1364,0.41,0.87,0.99,1153234,2009,21.5
"Logan Circle","Single Family Home",4,1069,0.56,0.8,0.4,841679,1981,13.1
"Georgetown","Single Family Home",26,1141,0.84,0.3,0.64,1973161,1977,5.9
"Adams Morgan","Townhouse",20,1311,0.28,0.77,0.34,1702497,1955,8.5
"Anacostia","Single Family Home",22,1701,0.53,0.98,0.46,1487408,2007,8.2
"Southwest Waterfront","Single Family Home",3,1514,0.59,0.2,0.38,1780078,1959,21.2
"Kingman Park","Single Family Home",28,1076,0.24,0.72,0.87,1398194,1975,14.9
"Deanwood","Single Family Home",37,1125,0.59,0.25,0.79,1077454,1973,5.3
"Anacostia","Single Family Home",13,1037,0.63,0.72,0.85,1535711,1982,22.6
"Foggy Bottom","Condominium",38,1095,0.77,0.17,0.21,766827,1974,20
"Brookland","Condominium",35,914,0.78,0.43,0.13,1695904,2010,19.7
"Kingman Park","Condominium",22,1277,0.54,0.83,0.8,1339176,2002,23.4
"Shaw","Single Family Home",10,1232,0.64,0.67,0.71,563153,2007,24.3
"Petworth","Townhouse",30,1315,0.12,0.94,0.63,NA,1994,18.5
"Shaw","Condominium",38,1444,0.87,0.35,0.54,1511586,1976,9.2
"Kingman Park","Townhouse",37,1184,0.15,0.26,0.96,1829895,1963,20.5
"Congress Heights","Townhouse",32,1108,0.23,0.95,0.71,524474,1992,24.7
"Foggy Bottom","Condominium",32,1392,0.68,0.15,0.24,1489252,1952,6
"Foggy Bottom","Townhouse",9,1044,0.76,0.54,0.19,530029,2016,18.2
"Capitol Hill","Townhouse",26,1130,0.74,0.68,0.3,1384791,1961,23
"Adams Morgan","Single Family Home",26,1341,0.74,0.19,0.3,1875927,2005,21.2
"Brookland","Condominium",3,1738,0.86,0.33,0.86,1209073,2001,8.1
"Anacostia","Townhouse",39,1180,0.17,0.47,0.57,NA,1960,19.7
"Petworth","Single Family Home",3,1109,0.35,0.8,0.16,NA,1968,11.4
"Woodley Park","Single Family Home",25,1493,0.16,0.98,0.69,848298,1976,13.5
"Kingman Park","Single Family Home",17,1317,0.69,0.53,0.84,NA,1952,22.4
"Mount Pleasant","Townhouse",14,1314,0.37,0.21,0.11,912603,1970,12.7
"Columbia Heights","Single Family Home",8,1368,0.82,0.99,0.82,1805831,2012,18.7
"Logan Circle","Townhouse",25,1158,0.21,0.43,0.23,999036,1958,14.5
"Petworth","Single Family Home",37,1207,0.66,0.2,0.57,1903001,2012,9.7
"Petworth","Single Family Home",37,1261,0.69,0.95,0.36,1678735,2009,21.5
"Logan Circle","Single Family Home",31,1082,0.12,0.29,0.43,1024933,1958,16.8
"Mount Pleasant","Townhouse",22,1168,0.3,0.86,0.93,1735679,2019,18.1
"Foggy Bottom","Townhouse",10,1320,0.75,0.73,0.9,NA,2000,7.6
"Logan Circle","Single Family Home",24,1094,0.43,0.69,0.86,519635,1964,16.1
"Logan Circle","Condominium",35,1042,0.7,0.75,0.94,1534456,1995,7.2
"Logan Circle","Condominium",31,1029,0.49,0.85,0.56,1978279,1999,10.9
"Congress Heights","Townhouse",12,1267,0.31,0.21,0.13,1652312,2003,13.7
"Anacostia","Condominium",26,1040,0.18,0.29,0.77,838112,1989,5.7
"Southwest Waterfront","Single Family Home",24,887,0.68,0.47,0.61,1670563,2015,9.1
"Dupont Circle","Condominium",17,1047,0.21,0.35,0.95,1637735,2017,10
"Logan Circle","Single Family Home",22,1144,0.29,0.53,0.57,1787953,1984,15.3
"Adams Morgan","Condominium",28,825,0.79,0.43,0.53,NA,2005,19.7
"Shaw","Townhouse",32,1155,0.5,0.8,0.27,1475756,1951,7.4
"Georgetown","Single Family Home",10,1362,0.84,0.59,0.98,NA,2008,21.7
"Kingman Park","Townhouse",33,1169,0.8,0.11,0.18,1925829,1971,7.7
"Anacostia","Condominium",6,1383,0.52,0.66,0.63,1768905,2002,14.8
"Anacostia","Townhouse",31,1165,0.57,0.83,0.41,840830,1968,24.6
"Mount Pleasant","Single Family Home",15,1341,0.6,0.42,0.54,992809,2000,11.3
"U Street Corridor","Single Family Home",36,1115,0.13,0.44,0.63,662628,2008,21.3
"Trinidad","Townhouse",32,1465,0.46,0.79,0.77,NA,1996,17.9
"Anacostia","Condominium",28,884,0.49,0.26,0.4,645597,2002,8.1
"Van Ness","Townhouse",32,1427,0.14,0.82,0.88,1209737,1992,23.3
"Mount Pleasant","Townhouse",11,1253,0.79,0.68,0.75,695738,1999,16.1
"Capitol Hill","Townhouse",20,1311,0.47,0.37,0.28,1562891,2016,12.3
"Capitol Hill","Condominium",30,1206,0.89,0.71,0.56,1871572,2014,13.2
"Van Ness","Single Family Home",16,1360,0.22,0.86,0.2,579901,1969,22
"Kingman Park","Townhouse",5,973,0.52,0.39,0.14,764104,1993,6.9
"Columbia Heights","Townhouse",40,1612,0.12,0.28,0.46,797575,2001,5.2
"Adams Morgan","Townhouse",20,1070,0.37,0.27,0.34,960530,1950,23.5
"Kingman Park","Single Family Home",31,1413,0.4,0.81,0.78,749926,1976,8.4
"Deanwood","Townhouse",5,1058,0.35,0.62,0.93,1325719,1982,18.6
"Adams Morgan","Condominium",20,856,0.42,0.37,0.83,695807,1979,17.5
"Columbia Heights","Single Family Home",16,1037,0.14,0.34,0.36,1863211,2015,7.9
"Foggy Bottom","Townhouse",33,976,0.75,0.61,0.9,NA,1964,19.5
"Columbia Heights","Single Family Home",35,1334,0.34,0.79,0.71,1335024,2014,12.6
"Foggy Bottom","Single Family Home",21,1349,0.12,0.7,0.49,980586,1981,11
"Dupont Circle","Single Family Home",40,1269,0.88,0.59,0.68,856021,1979,21.5
"Van Ness","Single Family Home",5,1219,0.37,0.2,0.28,1814574,1955,22
"Petworth","Condominium",25,1550,0.74,0.59,0.63,632183,2011,20.9
"Southwest Waterfront","Single Family Home",7,1130,0.22,0.49,0.72,1710940,2004,18.1
"Brookland","Condominium",35,1352,0.22,0.11,0.23,506398,1982,19.6
"Trinidad","Condominium",9,1182,0.43,0.31,0.51,1108170,1976,22.6
"Foggy Bottom","Condominium",25,1094,0.49,0.1,0.18,1859619,2003,24.3
"Deanwood","Townhouse",25,1327,0.4,0.98,0.48,1174976,1989,10.4
"Columbia Heights","Single Family Home",34,1215,0.27,0.69,0.59,1059322,2006,22
"Dupont Circle","Single Family Home",34,1194,0.15,0.76,0.34,662681,2014,22.5
"Anacostia","Single Family Home",33,1187,0.42,0.85,0.38,NA,1974,20.7
"Adams Morgan","Single Family Home",5,1198,0.46,0.34,0.54,NA,1987,18.1
"Georgetown","Condominium",38,1164,0.38,0.84,0.64,1087546,2012,18.2
"Logan Circle","Townhouse",39,1291,0.84,0.73,0.62,1525759,1988,20
"Trinidad","Condominium",5,920,0.31,0.74,0.16,1770556,2013,16.8
"Anacostia","Townhouse",18,1355,0.45,0.66,0.63,1025640,1971,16.8
"Kingman Park","Condominium",25,1503,0.89,0.3,0.45,990300,1990,13
"Kingman Park","Townhouse",10,1415,0.79,0.81,0.82,1157239,1988,17.3
"Shaw","Condominium",12,1259,0.88,0.89,0.65,880512,1997,5.3
"Southwest Waterfront","Single Family Home",20,1405,0.37,0.62,0.45,633749,2017,23.2
"Anacostia","Townhouse",15,1237,0.49,0.2,0.54,901991,1999,21.3
"Deanwood","Condominium",27,1388,0.52,0.62,0.26,1674716,2013,6.9
"Petworth","Condominium",33,1192,0.11,0.19,0.44,866537,1974,14.7
"Anacostia","Single Family Home",21,1389,0.88,0.93,0.46,706161,1960,6.2
"Shaw","Condominium",35,1145,0.66,0.93,0.33,580028,2012,6.6
"Shaw","Single Family Home",19,1122,0.64,0.24,0.94,1809279,2014,6
"Adams Morgan","Single Family Home",15,1114,0.23,0.3,0.79,1166539,1990,17.2
"Logan Circle","Condominium",15,1610,0.49,0.86,0.33,1000035,2014,6.2
"Mount Pleasant","Condominium",10,1070,0.66,0.9,0.4,631234,1990,8.4
"Woodley Park","Townhouse",33,1206,0.36,0.91,0.79,972886,1950,21.6
"Deanwood","Single Family Home",34,1324,0.66,0.78,0.81,NA,1990,7.2
"U Street Corridor","Townhouse",34,808,0.56,0.9,0.43,1704381,1953,14.9
"Kingman Park","Townhouse",29,1157,0.33,0.86,0.19,1801962,2002,22.8
"Woodley Park","Townhouse",22,1398,0.44,0.2,0.47,632904,2005,16.9
"Shaw","Townhouse",38,NA,0.69,0.34,0.18,1417584,1988,19.3
"Anacostia","Single Family Home",37,1182,0.33,0.56,0.26,1120433,1983,14.1
"Southwest Waterfront","Single Family Home",10,912,0.14,0.82,0.65,1594638,1991,6.6
"Woodley Park","Townhouse",35,859,0.44,0.6,0.29,1189086,1993,12.2
"Columbia Heights","Single Family Home",30,1049,0.58,0.45,0.9,1444413,1978,22.5
"Foggy Bottom","Townhouse",33,1214,0.87,0.23,0.85,NA,1991,7.7
"Shaw","Townhouse",23,1393,0.46,0.97,0.36,NA,2014,23.6
"Deanwood","Townhouse",22,1082,0.21,0.75,0.64,752358,1995,14.9
"Van Ness","Condominium",9,957,0.47,0.78,0.93,1626581,1993,14.6
"Brookland","Townhouse",4,1158,0.69,0.72,0.53,1531929,1982,19.8
"Mount Pleasant","Single Family Home",36,1275,0.75,0.51,0.16,1323654,1952,21.5
"Brookland","Condominium",37,1001,0.23,0.38,0.25,1757144,2004,11.5
"Logan Circle","Townhouse",17,1374,0.38,0.41,0.51,1790258,1964,19.5
"Georgetown","Townhouse",33,1282,0.56,0.44,0.29,1269085,1957,12.6
"Adams Morgan","Single Family Home",3,1156,0.22,0.99,0.32,1792821,2017,22.9
"Foggy Bottom","Townhouse",28,1318,0.17,0.88,0.8,1026491,2015,19.1
"Southwest Waterfront","Single Family Home",35,1021,0.87,0.14,0.8,1937526,1976,13.9
"Deanwood","Condominium",19,1230,0.24,0.97,0.39,1093633,1974,18.5
"Anacostia","Single Family Home",13,1270,0.52,0.38,0.25,NA,1973,5.7
"Southwest Waterfront","Townhouse",32,1375,0.56,0.67,0.81,658169,1987,5.1
"Shaw","Condominium",12,1182,0.67,0.46,0.76,NA,1980,8.9
"Logan Circle","Single Family Home",28,1423,0.8,0.14,0.75,662950,1971,10.2
"Capitol Hill","Townhouse",22,1172,0.34,0.59,0.2,NA,2009,7.5
"Adams Morgan","Single Family Home",32,723,0.84,0.42,0.91,1102848,1981,22.6
"Foggy Bottom","Townhouse",15,1001,0.78,0.74,0.36,814000,2004,10.3
"Deanwood","Townhouse",18,1367,0.7,0.96,0.64,511991,1960,9.5
"Mount Pleasant","Single Family Home",7,1329,0.51,0.72,0.54,1019957,1998,20.5
"Deanwood","Townhouse",33,1110,0.8,0.58,0.28,1456816,1976,24.4
"Columbia Heights","Condominium",35,1094,0.24,0.72,0.4,1121543,1961,23
"Adams Morgan","Condominium",12,1132,0.48,0.23,0.96,877496,1980,8.1
"Foggy Bottom","Townhouse",27,1374,0.15,0.36,0.47,1859192,1978,13.9
"Woodley Park","Condominium",39,1182,0.38,0.13,0.75,1318573,1984,11.9
"Southwest Waterfront","Townhouse",30,1347,0.34,0.62,0.98,1978634,1984,9.6
"Trinidad","Single Family Home",31,NA,0.88,0.87,0.25,576676,2020,11.1
"Woodley Park","Single Family Home",12,1419,0.66,0.51,0.96,1114295,1967,15.4
